Utilisateur,count
707,206
825,125
47,115
258,85
408,84
581,78
537,78
835,78
769,77
9,75
911,75
77,71
958,70
771,68
0,68
792,68
71,67
601,65
134,64
278,64
28,63
924,63
163,63
892,63
40,60
283,60
702,60
144,59
815,58
324,57
712,57
3,56
237,56
146,56
103,53
334,53
336,53
946,52
118,52
423,52
171,51
114,51
806,51
536,51
823,51
961,51
887,50
142,50
138,50
731,50
155,49
109,49
204,49
711,49
79,48
162,48
337,48
995,48
393,47
369,47
988,47
88,46
497,46
394,46
897,46
367,46
343,46
213,46
896,45
774,45
832,45
86,45
885,44
353,44
622,44
708,43
332,43
402,43
340,43
507,43
330,42
796,42
379,42
724,42
677,42
697,42
761,42
256,42
862,41
386,41
728,40
49,40
107,40
511,39
487,39
552,39
55,39
605,39
703,39
453,39
758,38
574,37
445,36
430,36
986,36
641,36
44,36
794,36
672,35
97,35
779,34
351,34
490,33
331,31
750,29
579,29
888,29
190,26
673,25
381,25
843,24
196,24
898,24
117,22
754,19
392,19
891,18
505,17
421,17
931,14
113,14
294,13
366,12
541,11
255,11
104,11
625,11
132,8
973,7
234,4
656,4
670,4
824,3
614,3
841,1
686,1
