Utilisateur,Date
0,16
3,12
9,15
28,19
40,13
44,13
47,27
49,14
55,15
71,20
77,21
79,17
86,15
88,14
97,15
103,22
104,4
107,16
109,14
113,13
114,17
117,11
118,21
132,5
134,15
138,11
142,20
144,12
146,15
155,18
162,17
163,13
171,11
190,6
196,25
204,14
213,19
234,4
237,16
255,7
256,15
258,20
278,20
283,19
294,2
324,16
330,13
331,13
332,14
334,18
336,14
337,14
340,15
343,17
351,11
353,15
366,9
367,17
369,14
379,16
381,10
386,17
392,11
393,16
394,13
402,14
408,22
421,5
423,18
430,12
445,11
453,13
462,99
487,8
490,11
497,18
505,10
507,10
511,14
536,20
537,22
541,4
552,14
574,12
579,4
581,21
601,21
605,9
614,1
622,19
625,5
641,11
656,3
670,1
672,14
673,12
677,16
686,6
697,14
702,21
703,9
707,10
708,13
711,18
712,19
724,18
728,20
731,12
750,16
754,3
758,10
759,10
761,14
769,14
771,15
774,13
779,10
792,18
794,13
796,12
801,1
806,15
815,13
818,2
823,17
824,3
825,26
827,8
832,12
835,17
841,2
843,6
862,15
863,6
885,16
887,26
888,11
891,7
892,17
896,19
897,14
898,10
911,17
924,14
931,5
946,18
958,17
961,15
973,2
986,14
988,17
995,15
