Utilisateur,Contexte
0,27
3,28
9,26
28,32
40,27
44,26
47,30
49,22
55,26
71,27
77,26
79,26
86,26
88,25
97,26
103,28
104,13
107,24
109,29
113,14
114,25
117,21
118,26
132,10
134,32
138,24
142,25
144,27
146,26
155,28
162,26
163,29
171,28
190,18
196,50
204,24
213,28
234,6
237,22
255,11
256,25
258,26
278,29
283,28
294,12
324,26
330,23
331,26
332,20
334,17
336,25
337,20
340,24
343,27
351,27
353,25
366,15
367,28
369,27
379,23
381,18
386,26
392,15
393,26
394,23
402,25
408,28
421,20
423,22
430,21
445,19
453,28
462,1
487,12
490,24
497,28
505,23
507,24
511,24
536,31
537,30
541,15
552,23
574,20
579,15
581,27
601,28
605,24
614,1
622,30
625,8
641,22
656,8
670,3
672,24
673,23
677,22
686,6
697,29
702,29
703,27
707,28
708,24
711,27
712,27
724,24
728,29
731,22
750,23
754,7
758,24
759,1
761,28
769,26
771,27
774,24
779,19
792,26
794,20
796,23
801,4
806,28
815,28
818,1
823,30
824,3
825,29
827,6
832,24
835,25
841,13
843,18
862,27
863,1
885,24
887,29
888,24
891,14
892,24
896,27
897,28
898,14
911,28
924,28
931,11
946,26
958,31
961,28
973,14
986,23
988,29
995,27
