Utilisateur,Evenement
0,12
3,12
9,12
28,13
40,11
44,11
47,10
49,12
55,11
71,12
77,12
79,11
86,12
88,11
97,11
103,11
104,7
107,11
109,11
113,10
114,10
117,10
118,10
132,6
134,11
138,14
142,10
144,11
146,10
155,11
162,10
163,11
171,11
190,8
196,34
204,13
213,11
234,6
237,12
255,6
256,12
258,13
278,11
283,11
294,7
324,11
330,11
331,11
332,10
334,11
336,11
337,11
340,14
343,12
351,11
353,11
366,10
367,11
369,11
379,12
381,10
386,10
392,10
393,11
394,12
402,14
408,11
421,5
423,15
430,11
445,11
453,11
462,15
487,12
490,14
497,12
505,11
507,12
511,11
536,12
537,12
541,3
552,11
574,10
579,8
581,15
601,11
605,11
614,3
622,12
625,10
641,12
656,3
670,2
672,11
673,12
677,15
686,10
697,11
702,11
703,11
707,12
708,12
711,12
712,13
724,12
728,11
731,14
750,11
754,7
758,10
759,5
761,10
769,9
771,12
774,11
779,11
792,10
794,11
796,14
801,3
806,15
815,13
818,8
823,11
824,3
825,15
827,2
832,11
835,11
841,7
843,9
862,14
863,1
885,11
887,13
888,10
891,10
892,11
896,13
897,12
898,11
911,16
924,15
931,11
946,10
958,11
961,12
973,3
986,10
988,11
995,11
